original_name,normalized_name,volume,volume_unit,package_count,price,price_total,source_file
SYNPOWER FE 5W30 4/5 L NSW,VALVOLINE SYNPOWER FE 5W30 4/5 L NSW,5,L,4,671.18,13423.67,
SYNPOWER FE 5W30 12/1 L SW,VALVOLINE SYNPOWER FE 5W30 12/1 L SW,1,L,12,702.29,8427.50,
SYNPOWER FE 5W30 12/1 L NSW,VALVOLINE SYNPOWER FE 5W30 12/1 L NSW,1,L,12,702.29,8427.50,
SYNPOWER 0W40 DR 208 L,VALVOLINE SYNPOWER 0W40 DR 208 L,208,L,1,755.65,157174.20,
SYNPOWER 0W40 4/5 L SW,VALVOLINE SYNPOWER 0W40 4/5 L SW,5,L,4,827.49,16549.76,
SYNPOWER 0W40 4/5 L NSW,VALVOLINE SYNPOWER 0W40 4/5 L NSW,5,L,4,827.49,16549.76,
SYNPOWER 0W40 4/4 L SW,VALVOLINE SYNPOWER 0W40 4/4 L SW,4,L,4,837.43,13398.82,
SYNPOWER 0W40 4/4 L NSW,VALVOLINE SYNPOWER 0W40 4/4 L NSW,4,L,4,837.43,13398.82,
SYNPOWER 0W40 12/1 L SW,VALVOLINE SYNPOWER 0W40 12/1 L SW,1,L,12,855.78,10269.37,
SYNPOWER 0W40 12/1 L NSW,VALVOLINE SYNPOWER 0W40 12/1 L NSW,1,L,12,855.78,10269.37,
SYNPOWER DX1 0W20 DR 208 L,VALVOLINE SYNPOWER DX1 0W20 DR 208 L,208,L,1,653.50,135928.50,
SYNPOWER DX1 0W20 4/5 L SW,VALVOLINE SYNPOWER DX1 0W20 4/5 L SW,5,L,4,695.11,13902.25,
SYNPOWER DX1 0W20 4/5 L NSW,VALVOLINE SYNPOWER DX1 0W20 4/5 L NSW,5,L,4,695.11,13902.25,
SYNPOWER DX1 0W20 12/1 L SW,VALVOLINE SYNPOWER DX1 0W20 12/1 L SW,1,L,12,740.48,8885.76,
SYNPOWER DX1 0W20 12/1 L NSW,VALVOLINE SYNPOWER DX1 0W20 12/1 L NSW,1,L,12,740.48,8885.76,
SYNPOWER 5W30 DR 208 L,VALVOLINE SYNPOWER 5W30 DR 208 L,208,L,1,649.77,135151.99,
SYNPOWER 5W30 KE 60 L,VALVOLINE SYNPOWER 5W30 KE 60 L,60,L,1,677.54,40652.67,
SYNPOWER 5W30 PL 20 L,VALVOLINE SYNPOWER 5W30 PL 20 L,20,L,1,682.95,13659.00,
SYNPOWER 5W30 4/4 L SW,VALVOLINE SYNPOWER 5W30 4/4 L SW,4,L,4,693.67,11098.68,
SYNPOWER 5W30 4/4 L NSW,VALVOLINE SYNPOWER 5W30 4/4 L NSW,4,L,4,693.67,11098.68,
SYNPOWER 5W30 12/1 L SW,VALVOLINE SYNPOWER 5W30 12/1 L SW,1,L,12,738.34,8860.06,
SYNPOWER 5W30 12/1 L NSW,VALVOLINE SYNPOWER 5W30 12/1 L NSW,1,L,12,738.34,8860.06,
SYNPOWER MBO 5W40 PL 20 L,VALVOLINE SYNPOWER MBO 5W40 PL 20 L,20,L,1,605.35,12106.97,
SYNPOWER 5W40 DR 208 L,VALVOLINE SYNPOWER 5W40 DR 208 L,208,L,1,597.69,124319.10,
SYNPOWER 5W40 KE 60 L,VALVOLINE SYNPOWER 5W40 KE 60 L,60,L,1,603.25,36194.86,
SYNPOWER 5W40 PL 20 L,VALVOLINE SYNPOWER 5W40 PL 20 L,20,L,1,632.15,12643.08,
SYNPOWER 5W40 4/5 L SW,VALVOLINE SYNPOWER 5W40 4/5 L SW,5,L,4,628.71,12574.21,
SYNPOWER 5W40 4/5 L NSW,VALVOLINE SYNPOWER 5W40 4/5 L NSW,5,L,4,628.71,12574.21,
SYNPOWER 5W40 4/4 L SW,VALVOLINE SYNPOWER 5W40 4/4 L SW,4,L,4,639.13,10226.13,
SYNPOWER 5W40 4/4 L NSW,VALVOLINE SYNPOWER 5W40 4/4 L NSW,4,L,4,639.13,10226.13,
SYNPOWER 5W40 12/1 L SW,VALVOLINE SYNPOWER 5W40 12/1 L SW,1,L,12,725.15,8701.83,
SYNPOWER 5W40 12/1 L NSW,VALVOLINE SYNPOWER 5W40 12/1 L NSW,1,L,12,725.15,8701.83,
SYNPOWER 10W40 DR 208 L,VALVOLINE SYNPOWER 10W40 DR 208 L,208,L,1,546.83,113740.80,
SYNPOWER 10W40 KE 60 L,VALVOLINE SYNPOWER 10W40 KE 60 L,60,L,1,564.63,33877.83,
SYNPOWER 10W40 PL 20 L,VALVOLINE SYNPOWER 10W40 PL 20 L,20,L,1,564.22,11284.44,
SYNPOWER 10W40 4/5 L SW,VALVOLINE SYNPOWER 10W40 4/5 L SW,5,L,4,571.73,11434.67,
SYNPOWER 10W40 4/5 L NSW,VALVOLINE SYNPOWER 10W40 4/5 L NSW,5,L,4,571.73,11434.67,
SYNPOWER 10W40 4/4L SW,VALVOLINE SYNPOWER 10W40 4/4L SW,4,L,4,577.82,9245.05,
SYNPOWER 10W40 4/4L NSW,VALVOLINE SYNPOWER 10W40 4/4L NSW,4,L,4,577.82,9245.05,
SYNPOWER 10W40 12/1 L SW,VALVOLINE SYNPOWER 10W40 12/1 L SW,1,L,12,618.39,7420.63,
